Market Name ,Market Key,Market Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1529,1529,Zip Code,"69,354","72,237","75,708",0,"70,446","70,281","73,068","67,905","69,877","80,905","89,478",
1531,1531,Zip Code,"61,852","64,756","66,235",0,"62,795","62,604","74,444","83,446","83,529","70,115","73,821",
1532,1532,Zip Code,"95,792","98,980","101,662",0,"97,532","97,642","98,766","100,468","99,050","106,040","114,002",
1534,1534,Zip Code,"72,242","75,179","78,630",0,"74,582","75,474","76,724","70,524","71,647","69,884","73,602",
1535,1535,Zip Code,"54,097","56,129","57,734",0,"56,324","56,136","59,351","63,233","60,264","55,243","67,270",
1536,1536,Zip Code,"70,411","73,490","75,675",0,"77,000","76,639","87,204","80,967","86,887","80,714","82,842",
1537,1537,Zip Code,"61,458","64,674","67,043",0,"64,126","63,767","70,438","68,750","67,744","67,680","71,497",
1540,1540,Zip Code,"65,029","67,657","70,092",0,"65,445","65,003","64,361","65,294","66,125","67,284","69,142",
1541,1541,Zip Code,"101,913","105,855","110,096",0,"101,015","100,300","97,531","106,215","105,500","110,660","114,739",
1542,1542,Zip Code,"65,039","68,192","72,359",0,"70,083","70,047","70,382","70,556","76,938","69,350","74,771",
1543,1543,Zip Code,"81,143","82,359","85,026",0,"81,565","81,531","78,549","87,709","93,921","97,528","104,914",
1545,1545,Zip Code,"79,557","81,815","84,310",0,"80,699","80,299","82,909","83,246","89,231","90,737","103,692",
1550,1550,Zip Code,"38,701","40,278","40,786",0,"41,399","41,853","47,239","44,287","49,022","44,885","47,545",
1560,1560,Zip Code,"53,052","56,101","57,006",0,"57,130","56,768","86,620","75,141","79,388","82,700","89,196",
1562,1562,Zip Code,"54,470","56,569","57,849",0,"58,067","58,597","63,853","60,237","61,349","62,621","63,967",
